"","V1"
"452",4
"453",3
"454",3
"455",1
"456",5
"457",3
"458",1
"459",4
"460",1
"461",3
"462",5
"463",5
"464",5
"465",5
"466",1
"467",3
"468",3
"469",3
"470",4
"471",1
"472",3
"473",2
"474",1
"475",3
"476",2
"477",1
"478",3
"479",5
"480",1
"481",4
"482",5
"483",5
"484",2
"485",1
"486",1
"487",2
"488",3
"489",1
"490",5
"491",4
"492",1
"493",2
"494",1
"495",1
"496",1
"497",2
"498",2
"499",3
"500",3
"501",1
"502",3
"503",1
"504",4
"505",5
"506",2
"507",5
"508",2
"509",5
"510",4
"511",5
"512",2
"513",4
"514",1
"515",5
"516",4
"517",1
"518",1
"519",5
"520",2
"521",5
"522",5
"523",4
"524",3
"525",1
"526",1
"527",5
"528",5
"529",5
"530",1
"531",4
"532",2
"533",5
"534",4
"535",4
"536",5
"537",2
"538",5
"539",2
"540",5
"541",2
"542",1
"543",5
"544",4
"545",5
"546",5
"547",1
"548",5
"549",1
"550",2
"551",5
"552",4
"553",5
"554",5
"555",5
"556",5
"557",5
"558",3
"559",3
"560",3
"561",3
"562",3
"563",3
"564",3
"565",4
"566",3
"567",2
"568",3
"569",1
"570",4
"571",3
"572",1
"573",3
"574",3
"575",5
"576",4
"577",3
"578",3
"579",5
"580",4
"581",3
"582",3
"583",1
"584",3
"585",1
"586",5
"587",1
"588",3
"589",3
"590",4
"591",3
"592",5
"593",1
"594",3
"595",3
"596",3
"597",3
"598",3
"599",4
"600",3
"601",2
"602",1
"603",3
"604",3
"605",3
"606",3
"607",3
"608",3
"609",3
"610",3
"611",4
"612",3
"613",3
"614",3
"615",4
"616",3
"617",3
"618",2
"619",3
"620",3
"621",3
"622",3
"623",3
"624",4
"625",3
"626",3
"627",3
"628",3
"629",3
"630",3
"631",3
"632",3
"633",3
"634",3
"635",2
"636",3
"637",1
"638",4
"639",4
"640",3
"641",3
"642",3
"643",3
"644",1
"645",1
"646",3
"647",4
"648",3
"649",3
"650",4
"651",3
"652",3
"653",4
"654",3
"655",3
"656",3
"657",3
"658",3
"659",4
"660",1
"661",4
"662",1
"663",1
"664",1
"665",3
"666",4
"667",4
"668",2
"669",2
"670",2
"671",1
"672",1
"673",1
"674",1
"675",1
"676",2
"677",1
"678",2
"679",1
"680",2
"681",3
"682",1
"683",2
"684",1
"685",3
"686",5
"687",1
"688",2
"689",1
"690",5
"691",2
"692",2
"693",1
"694",5
"695",1
"696",1
"697",1
"698",3
"699",5
"700",2
"701",2
"702",3
"703",5
"704",1
"705",2
"706",1
"707",1
"708",3
"709",3
"710",2
"711",1
"712",1
"713",1
"714",1
"715",2
"716",2
"717",2
"718",3
"719",1
"720",2
"721",1
"722",1
"723",2
"724",2
"725",2
"726",1
"727",1
"728",5
"729",2
"730",2
"731",3
"732",2
"733",2
"734",2
"735",2
"736",2
"737",2
"738",1
"739",1
"740",2
"741",2
"742",1
"743",1
"744",1
"745",3
"746",1
"747",3
"748",3
"749",5
"750",3
"751",3
"752",4
"753",1
"754",1
"755",1
"756",3
"757",3
"758",3
"759",5
"760",3
"761",5
"762",5
"763",4
"764",5
"765",5
"766",1
"767",5
"768",2
"769",1
"770",1
"771",5
"772",4
"773",3
"774",3
"775",4
"776",2
"777",2
"778",3
"779",1
"780",1
"781",5
"782",3
"783",2
"784",5
"785",1
"786",1
"787",4
"788",4
"789",4
"790",4
"791",1
"792",3
"793",3
"794",5
"795",3
"796",1
"797",1
"798",1
"799",4
"800",2
"801",1
"802",4
"803",1
"804",5
"805",3
"806",1
"807",1
"808",1
"809",1
"810",2
"811",3
"812",3
"813",5
"814",4
"815",2
"816",1
"817",3
"818",5
"819",1
"820",3
"821",4
"822",4
"823",5
"824",1
"825",2
"826",1
"827",1
"828",2
"829",3
"830",4
"831",1
"832",5
"833",5
"834",2
"835",1
"836",2
"837",5
"838",3
"839",4
"840",2
"841",5
"842",3
"843",5
"844",4
"845",3
"846",5
"847",5
"848",5
"849",4
"850",3
"851",2
"852",5
"853",4
"854",5
"855",5
"856",2
"857",3
"858",5
"859",4
"860",3
"861",1
"862",4
"863",5
"864",5
"865",1
"866",5
"867",4
"868",5
"869",2
"870",3
"871",4
"872",1
"873",4
"874",5
"875",5
"876",4
"877",4
"878",3
"879",3
"880",2
"881",2
"882",5
"883",2
"884",2
"885",1
"886",4
"887",2
"888",1
"889",5
"890",5
"891",5
"892",5
"893",4
"894",5
"895",5
"896",3
"897",5
"898",5
"899",3
"900",1
"901",3
"902",4
"903",3
"904",2
"905",5
"906",3
"907",3
"908",3
"909",4
"910",1
"911",3
"912",2
"913",1
"914",1
"915",1
"916",4
"917",3
"918",5
"919",3
"920",4
"921",1
"922",4
"923",4
"924",3
"925",1
"926",1
"927",4
"928",1
"929",1
"930",1
"931",1
"932",3
"933",1
"934",3
"935",3
"936",3
"937",3
"938",3
"939",3
"940",3
"941",3
"942",3
"943",4
"944",4
"945",3
"946",3
"947",1
"948",3
"949",3
"950",3
"951",3
"952",3
"953",1
"954",3
"955",1
"956",3
"957",3
"958",3
"959",1
"960",1
"961",3
"962",3
"963",4
"964",1
"965",3
"966",3
"967",2
"968",3
"969",3
"970",5
"971",2
"972",1
"973",5
"974",3
"975",3
"976",1
"977",3
"978",5
"979",3
"980",1
"981",1
"982",3
"983",4
"984",4
"985",1
"986",4
"987",4
"988",2
"989",3
"990",4
"991",1
"992",3
"993",4
"994",5
"995",3
"996",4
"997",1
"998",2
"999",3
"1000",2
"1001",1
"1002",2
"1003",1
"1004",3
"1005",1
"1006",1
"1007",2
"1008",5
"1009",2
"1010",4
"1011",1
"1012",2
"1013",1
"1014",1
"1015",2
"1016",1
"1017",3
"1018",2
"1019",2
"1020",2
"1021",3
"1022",3
"1023",2
"1024",2
"1025",1
"1026",1
"1027",2
"1028",2
"1029",3
"1030",3
"1031",2
"1032",1
"1033",2
"1034",2
"1035",1
"1036",1
"1037",1
"1038",2
"1039",1
"1040",2
"1041",1
"1042",1
"1043",1
"1044",1
"1045",2
"1046",5
"1047",3
"1048",4
"1049",5
"1050",2
"1051",2
"1052",2
"1053",1
"1054",1
"1055",1
"1056",1
"1057",5
"1058",2
"1059",2
"1060",1
"1061",1
"1062",1
"1063",1
"1064",1
"1065",5
"1066",5
"1067",2
"1068",2
"1069",2
"1070",5
"1071",2
"1072",5
"1073",1
"1074",1
"1075",2
"1076",2
"1077",2
"1078",3
"1079",1
"1080",1
"1081",2
"1082",2
"1083",1
"1084",2
"1085",2
"1086",3
"1087",3
"1088",2
"1089",2
"1090",2
"1091",3
"1092",2
"1093",3
"1094",1
"1095",1
"1096",5
"1097",3
"1098",2
"1099",2
"1100",1
"1101",1
"1102",3
"1103",1
"1104",2
"1105",2
"1106",5
"1107",2
"1108",1
"1109",1
"1110",1
"1111",2
"1112",3
"1113",2
"1114",5
"1115",1
"1116",1
"1117",3
"1118",2
"1119",2
"1120",2
"1121",2
"1122",2
"1123",5
"1124",5
"1125",2
"1126",5
"1127",2
"1128",2
"1129",1
"1130",1
"1131",1
"1132",1
"1133",1
"1134",5
"1135",1
"1136",5
"1137",5
"1138",2
"1139",2
"1140",2
"1141",2
"1142",3
"1143",1
"1144",1
"1145",5
"1146",1
"1147",4
"1148",5
"1149",4
"1150",3
"1151",5
"1152",1
"1153",1
"1154",5
"1155",3
"1156",4
"1157",1
"1158",1
"1159",1
"1160",5
"1161",5
"1162",1
"1163",1
"1164",1
"1165",1
"1166",5
"1167",4
"1168",4
"1169",1
"1170",5
"1171",5
"1172",2
"1173",3
"1174",5
"1175",4
"1176",1
"1177",5
"1178",5
"1179",3
"1180",1
"1181",1
"1182",4
"1183",4
"1184",5
"1185",1
"1186",4
"1187",1
"1188",5
"1189",1
"1190",4
"1191",5
"1192",1
"1193",5
"1194",5
"1195",1
"1196",5
"1197",4
"1198",4
"1199",3
"1200",3
"1201",5
"1202",4
"1203",1
"1204",4
"1205",4
"1206",1
"1207",4
"1208",4
"1209",4
"1210",3
"1211",2
"1212",4
"1213",1
"1214",1
"1215",3
"1216",3
"1217",4
"1218",3
"1219",4
"1220",5
"1221",2
"1222",1
"1223",5
"1224",4
"1225",1
"1226",5
"1227",1
"1228",5
"1229",3
"1230",5
"1231",5
"1232",4
"1233",2
"1234",4
"1235",4
"1236",4
"1237",4
"1238",4
"1239",4
"1240",4
"1241",5
"1242",2
"1243",5
"1244",4
"1245",5
"1246",5
"1247",4
"1248",4
"1249",5
"1250",3
"1251",2
"1252",4
"1253",1
"1254",2
"1255",2
"1256",2
"1257",2
"1258",3
"1259",4
"1260",1
"1261",4
"1262",4
"1263",1
"1264",5
"1265",1
"1266",5
"1267",2
"1268",1
"1269",4
"1270",4
"1271",1
"1272",4
"1273",5
"1274",1
"1275",2
"1276",1
"1277",1
"1278",2
"1279",1
"1280",2
"1281",2
"1282",3
"1283",2
"1284",2
"1285",1
"1286",2
"1287",3
"1288",4
"1289",3
"1290",2
"1291",2
"1292",3
"1293",5
"1294",2
"1295",1
"1296",3
"1297",1
"1298",3
"1299",1
"1300",2
"1301",3
"1302",5
"1303",2
"1304",2
"1305",4
"1306",5
"1307",1
"1308",1
"1309",5
"1310",5
"1311",1
"1312",1
"1313",1
"1314",3
"1315",4
"1316",2
"1317",1
"1318",5
"1319",5
"1320",5
"1321",2
"1322",5
"1323",5
"1324",1
"1325",5
"1326",1
"1327",1
"1328",1
"1329",1
"1330",5
"1331",1
"1332",1
"1333",5
"1334",5
"1335",2
"1336",5
"1337",2
"1338",4
"1339",1
"1340",5
"1341",4
"1342",5
"1343",1
"1344",2
"1345",2
"1346",2
"1347",3
"1348",1
"1349",5
"1350",5
"1351",5
"1352",4
"1353",5
"1354",4
"1355",4
"1356",2
"1357",4
"1358",1
"1359",5
"1360",1
"1361",1
"1362",5
"1363",1
"1364",1
"1365",1
"1366",1
"1367",5
"1368",5
"1369",4
"1370",1
"1371",4
"1372",5
"1373",2
"1374",1
"1375",1
"1376",4
"1377",5
"1378",5
"1379",5
"1380",2
"1381",4
"1382",5
"1383",4
"1384",5
"1385",5
"1386",1
"1387",5
"1388",5
"1389",5
"1390",2
"1391",1
"1392",1
"1393",3
"1394",2
"1395",3
"1396",2
"1397",3
"1398",2
"1399",3
"1400",2
"1401",5
"1402",4
"1403",5
"1404",1
"1405",3
"1406",2
"1407",4
"1408",2
"1409",5
"1410",5
"1411",5
"1412",2
"1413",3
"1414",4
"1415",1
"1416",5
"1417",1
"1418",1
"1419",5
"1420",2
"1421",2
"1422",1
"1423",5
"1424",2
"1425",5
"1426",1
"1427",5
"1428",2
"1429",4
"1430",5
"1431",4
"1432",1
"1433",4
"1434",1
"1435",1
"1436",4
"1437",1
"1438",5
"1439",5
"1440",3
"1441",1
"1442",2
"1443",1
"1444",4
"1445",5
"1446",2
"1447",5
"1448",4
"1449",3
"1450",3
"1451",1
"1452",3
"1453",3
"1454",3
"1455",4
"1456",3
"1457",4
"1458",2
"1459",4
"1460",3
"1461",3
"1462",4
"1463",1
"1464",4
"1465",3
"1466",1
"1467",3
"1468",4
"1469",4
"1470",1
"1471",5
"1472",1
"1473",4
"1474",4
"1475",2
"1476",1
"1477",2
"1478",3
"1479",2
"1480",4
"1481",1
"1482",1
"1483",1
"1484",4
"1485",5
"1486",4
"1487",5
"1488",1
"1489",3
"1490",5
"1491",5
"1492",3
"1493",3
"1494",3
"1495",4
"1496",1
"1497",2
"1498",3
"1499",3
"1500",3
"1501",3
"1502",3
"1503",4
"1504",3
"1505",3
"1506",3
"1507",3
"1508",3
"1509",4
"1510",1
"1511",3
"1512",3
"1513",3
"1514",3
"1515",3
"1516",3
"1517",3
"1518",4
"1519",1
"1520",3
"1521",1
"1522",3
"1523",3
"1524",4
"1525",3
"1526",2
"1527",1
"1528",3
"1529",1
"1530",3
"1531",3
"1532",3
"1533",2
"1534",4
"1535",4
"1536",1
"1537",3
"1538",1
"1539",1
"1540",4
"1541",1
"1542",3
"1543",3
"1544",1
"1545",1
"1546",3
"1547",3
"1548",3
"1549",4
"1550",1
"1551",2
"1552",3
"1553",1
"1554",1
"1555",4
"1556",1
"1557",1
"1558",3
"1559",1
"1560",3
"1561",2
"1562",1
"1563",5
"1564",2
"1565",2
"1566",2
"1567",1
"1568",2
"1569",1
"1570",1
"1571",5
"1572",2
"1573",2
"1574",3
"1575",2
"1576",1
"1577",5
"1578",1
"1579",2
"1580",5
"1581",5
"1582",1
"1583",2
"1584",1
"1585",1
"1586",1
"1587",5
"1588",1
"1589",3
"1590",1
"1591",1
"1592",1
"1593",2
"1594",5
"1595",2
"1596",1
"1597",1
"1598",5
"1599",3
"1600",4
"1601",1
"1602",2
"1603",2
"1604",1
"1605",1
"1606",2
"1607",1
"1608",2
"1609",3
"1610",1
"1611",1
"1612",5
"1613",5
"1614",1
"1615",3
"1616",3
"1617",1
"1618",3
"1619",2
"1620",1
"1621",2
"1622",2
"1623",3
"1624",1
"1625",2
"1626",1
"1627",5
"1628",5
"1629",5
"1630",3
"1631",1
"1632",1
"1633",5
"1634",5
"1635",3
"1636",1
"1637",5
"1638",2
"1639",1
"1640",3
"1641",1
"1642",5
"1643",2
"1644",3
"1645",2
"1646",2
"1647",2
"1648",1
"1649",1
"1650",2
"1651",3
"1652",2
"1653",5
"1654",2
"1655",2
"1656",5
"1657",2
"1658",1
"1659",1
"1660",1
"1661",1
"1662",1
"1663",5
"1664",1
"1665",3
"1666",5
"1667",1
"1668",5
"1669",1
"1670",1
"1671",5
"1672",1
"1673",1
"1674",3
"1675",3
"1676",1
"1677",4
"1678",1
"1679",1
"1680",3
"1681",1
"1682",5
"1683",1
"1684",2
"1685",5
"1686",3
"1687",2
"1688",1
"1689",2
"1690",1
"1691",2
"1692",2
"1693",1
"1694",2
"1695",2
"1696",2
"1697",2
"1698",5
"1699",4
"1700",1
"1701",2
"1702",5
"1703",3
"1704",5
"1705",1
"1706",1
"1707",1
"1708",3
"1709",3
"1710",1
"1711",4
"1712",4
"1713",5
"1714",5
"1715",2
"1716",3
"1717",1
"1718",2
"1719",3
"1720",3
"1721",5
"1722",4
"1723",3
"1724",3
"1725",5
"1726",4
"1727",5
"1728",5
"1729",4
"1730",1
"1731",4
"1732",5
"1733",2
"1734",5
"1735",1
"1736",4
"1737",3
"1738",4
"1739",5
"1740",1
"1741",4
"1742",4
"1743",5
"1744",5
"1745",5
"1746",5
"1747",5
"1748",5
"1749",4
"1750",1
"1751",4
"1752",3
"1753",2
"1754",4
"1755",5
"1756",5
"1757",1
"1758",1
"1759",3
"1760",4
"1761",5
"1762",3
"1763",5
"1764",5
"1765",4
"1766",5
"1767",5
"1768",5
"1769",4
"1770",5
"1771",5
"1772",5
"1773",4
"1774",4
"1775",4
"1776",5
"1777",5
"1778",5
"1779",4
"1780",4
"1781",5
"1782",1
"1783",2
"1784",5
"1785",1
"1786",2
"1787",5
"1788",5
"1789",3
"1790",4
"1791",5
"1792",4
"1793",5
"1794",4
"1795",5
"1796",5
"1797",1
"1798",5
"1799",4
"1800",4
"1801",4
"1802",4
"1803",5
"1804",5
"1805",5
"1806",5
"1807",4
"1808",1
"1809",1
"1810",5
"1811",4
"1812",4
"1813",3
"1814",1
"1815",5
"1816",5
"1817",2
"1818",4
"1819",5
"1820",1
"1821",3
"1822",1
"1823",5
"1824",4
"1825",4
"1826",4
"1827",4
"1828",4
"1829",5
"1830",5
"1831",1
"1832",4
"1833",5
"1834",2
"1835",4
"1836",4
"1837",5
"1838",4
"1839",1
"1840",5
"1841",1
"1842",4
"1843",5
"1844",5
"1845",5
"1846",5
"1847",3
"1848",1
"1849",4
"1850",1
"1851",5
"1852",4
"1853",5
"1854",5
"1855",5
"1856",4
"1857",5
"1858",3
"1859",5
"1860",2
"1861",1
"1862",4
"1863",2
"1864",5
"1865",1
"1866",3
"1867",2
"1868",3
"1869",5
"1870",3
"1871",2
"1872",4
"1873",5
"1874",5
"1875",1
"1876",4
"1877",5
"1878",5
"1879",3
"1880",1
"1881",4
"1882",1
"1883",5
"1884",1
"1885",4
"1886",1
"1887",2
"1888",4
"1889",4
"1890",4
"1891",1
"1892",1
"1893",5
"1894",4
"1895",4
"1896",1
"1897",3
"1898",1
"1899",4
"1900",5
"1901",2
"1902",1
"1903",4
"1904",4
"1905",1
"1906",1
"1907",5
"1908",1
"1909",1
"1910",5
"1911",4
"1912",5
"1913",4
"1914",2
"1915",3
"1916",4
"1917",4
"1918",5
"1919",5
"1920",5
"1921",5
"1922",4
"1923",4
"1924",3
"1925",5
"1926",4
"1927",4
"1928",4
"1929",5
"1930",4
"1931",4
"1932",1
"1933",5
"1934",3
"1935",4
"1936",1
"1937",4
"1938",4
"1939",4
"1940",4
"1941",2
"1942",4
"1943",5
"1944",5
"1945",1
"1946",5
"1947",4
"1948",4
"1949",4
"1950",4
"1951",5
"1952",4
"1953",4
"1954",5
"1955",5
"1956",4
"1957",4
"1958",4
"1959",1
"1960",1
"1961",5
"1962",2
"1963",5
"1964",5
"1965",5
"1966",4
"1967",2
"1968",3
"1969",1
"1970",4
"1971",3
"1972",1
"1973",1
"1974",4
"1975",1
"1976",4
"1977",5
"1978",5
"1979",4
"1980",5
"1981",5
"1982",5
"1983",1
"1984",5
"1985",4
"1986",1
"1987",1
"1988",2
"1989",3
"1990",4
"1991",1
"1992",1
"1993",5
"1994",1
"1995",5
"1996",4
"1997",2
"1998",1
"1999",4
"2000",1
"2001",2
"2002",1
"2003",5
"2004",1
"2005",1
"2006",4
"2007",5
"2008",5
"2009",4
"2010",5
"2011",5
"2012",5
"2013",1
"2014",5
"2015",2
"2016",5
"2017",4
"2018",5
"2019",5
"2020",2
"2021",5
"2022",5
"2023",3
"2024",2
"2025",2
"2026",2
"2027",2
"2028",5
"2029",3
"2030",5
"2031",5
"2032",5
"2033",2
"2034",2
"2035",5
"2036",5
"2037",2
"2038",5
"2039",5
"2040",1
"2041",5
"2042",5
"2043",4
"2044",5
"2045",2
"2046",2
"2047",1
"2048",1
"2049",5
"2050",2
"2051",2
"2052",2
"2053",5
"2054",5
"2055",5
"2056",2
"2057",1
"2058",4
"2059",1
"2060",4
"2061",5
"2062",4
"2063",1
"2064",2
"2065",5
"2066",5
"2067",1
"2068",5
"2069",4
"2070",5
"2071",3
"2072",5
"2073",5
"2074",3
"2075",3
"2076",5
"2077",4
"2078",5
"2079",1
"2080",2
"2081",4
"2082",5
"2083",5
"2084",5
"2085",2
"2086",4
"2087",4
"2088",1
"2089",4
"2090",5
"2091",5
"2092",5
"2093",3
"2094",4
"2095",4
"2096",4
"2097",4
"2098",5
"2099",5
"2100",4
"2101",5
"2102",4
"2103",1
"2104",5
"2105",2
"2106",4
"2107",5
"2108",4
"2109",5
"2110",4
"2111",5
"2112",5
"2113",1
"2114",1
"2115",4
"2116",3
"2117",4
"2118",3
"2119",5
"2120",1
"2121",2
"2122",5
"2123",5
"2124",4
"2125",5
"2126",5
"2127",2
"2128",5
"2129",4
"2130",5
"2131",5
"2132",2
"2133",2
"2134",1
"2135",4
"2136",4
"2137",5
"2138",5
"2139",5
"2140",2
"2141",5
"2142",5
"2143",1
"2144",5
"2145",4
"2146",4
"2147",4
"2148",4
"2149",5
"2150",5
"2151",2
"2152",4
"2153",2
"2154",5
"2155",3
"2156",4
"2157",5
"2158",1
"2159",2
"2160",2
"2161",5
"2162",4
"2163",5
"2164",5
"2165",1
"2166",1
"2167",5
"2168",4
"2169",1
"2170",5
"2171",5
"2172",5
"2173",2
"2174",5
"2175",1
"2176",5
"2177",5
"2178",4
"2179",1
"2180",5
"2181",4
"2182",5
"2183",2
"2184",5
"2185",5
"2186",5
"2187",5
"2188",5
"2189",4
"2190",5
"2191",5
"2192",4
"2193",5
"2194",2
"2195",5
"2196",1
"2197",5
"2198",4
"2199",2
"2200",5
"2201",5
"2202",5
"2203",5
"2204",5
"2205",2
"2206",5
"2207",5
"2208",5
"2209",5
"2210",2
"2211",5
"2212",4
"2213",4
"2214",5
"2215",4
"2216",5
"2217",5
"2218",5
"2219",5
"2220",5
"2221",5
"2222",5
"2223",5
"2224",5
"2225",4
"2226",5
"2227",5
"2228",2
"2229",5
"2230",4
"2231",5
"2232",5
"2233",2
"2234",2
"2235",5
"2236",2
"2237",2
"2238",5
"2239",5
"2240",4
"2241",3
"2242",5
"2243",5
"2244",5
"2245",3
"2246",5
"2247",2
"2248",4
"2249",5
"2250",3
"2251",5
"2252",5
"2253",5
"2254",5
"2255",4
"2256",4
"2257",4
"2258",5
"2259",3
"2260",4
"2261",2
"2262",5
"2263",5
"2264",1
"2265",5
"2266",5
"2267",5
"2268",2
"2269",3
"2270",5
"2271",5
"2272",5
"2273",5
"2274",2
"2275",2
"2276",5
"2277",2
"2278",1
"2279",5
"2280",4
"2281",5
"2282",1
"2283",5
"2284",5
"2285",4
"2286",5
"2287",5
"2288",5
"2289",4
"2290",5
"2291",5
"2292",5
"2293",5
"2294",4
"2295",5
"2296",5
"2297",5
"2298",5
"2299",5
"2300",5
"2301",5
"2302",5
"2303",4
"2304",5
"2305",5
"2306",2
"2307",5
"2308",1
"2309",5
"2310",4
"2311",2
"2312",5
"2313",4
"2314",5
"2315",5
"2316",4
"2317",5
"2318",5
"2319",5
"2320",5
"2321",4
"2322",2
"2323",1
"2324",2
"2325",5
"2326",5
"2327",4
"2328",5
"2329",5
"2330",5
"2331",5
"2332",5
"2333",5
"2334",5
"2335",1
"2336",5
"2337",5
"2338",4
"2339",4
"2340",5
"2341",2
"2342",5
"2343",5
"2344",5
"2345",5
"2346",5
"2347",5
"2348",5
"2349",4
"2350",5
"2351",5
"2352",5
"2353",4
"2354",5
"2355",5
"2356",2
"2357",5
"2358",1
"2359",2
"2360",5
"2361",1
"2362",2
"2363",2
"2364",2
"2365",5
"2366",2
"2367",4
"2368",4
"2369",1
"2370",4
"2371",5
"2372",3
"2373",5
"2374",1
"2375",1
"2376",4
"2377",5
"2378",5
"2379",5
"2380",5
"2381",4
"2382",3
"2383",5
"2384",5
"2385",2
"2386",5
"2387",5
"2388",4
"2389",1
"2390",1
"2391",1
"2392",4
"2393",2
"2394",2
"2395",5
"2396",5
"2397",2
"2398",5
"2399",4
"2400",5
"2401",5
"2402",5
"2403",2
"2404",5
"2405",5
"2406",2
"2407",4
"2408",4
"2409",2
"2410",4
"2411",5
"2412",5
"2413",1
"2414",2
"2415",4
"2416",4
"2417",2
"2418",5
"2419",4
"2420",2
"2421",5
"2422",5
"2423",2
"2424",5
"2425",5
"2426",5
"2427",4
"2428",4
"2429",1
"2430",4
"2431",3
"2432",2
"2433",4
"2434",4
"2435",5
"2436",5
"2437",4
"2438",4
"2439",5
"2440",2
"2441",1
"2442",5
"2443",4
"2444",3
"2445",4
"2446",5
"2447",5
"2448",2
"2449",5
"2450",5
"2451",4
"2452",4
"2453",5
"2454",1
"2455",1
"2456",2
"2457",5
"2458",4
"2459",2
"2460",1
"2461",5
"2462",3
"2463",2
"2464",4
"2465",5
"2466",2
"2467",2
"2468",5
"2469",5
"2470",3
"2471",5
"2472",4
"2473",5
"2474",5
"2475",5
"2476",1
"2477",5
"2478",5
"2479",5
"2480",5
"2481",4
"2482",5
"2483",5
"2484",3
"2485",5
"2486",5
"2487",5
"2488",5
"2489",5
"2490",5
"2491",2
"2492",4
"2493",1
"2494",4
"2495",5
"2496",4
"2497",1
